Company,Ticker,Sector,Market Cap,num. of employees,revenue,profit,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,rank,rank_change,Website
SM Energy,SM,Energy,4746.5,506,2622.9,36.2,Denver,CO,no,no,no,yes, ,Herbert S. Vogel,905,0,https://www.sm-energy.com
Kaiser Aluminum,KALU,Materials,1493.9,3957,2622,-18.5,Foothill Ranch,CA,no,no,no,no, ,Keith A. Harvey,906,0,https://www.kaiseraluminum.com
Federated Mutual Insurance,dfsfs,Financials,12445,2702,2612.2,320.1,Owatonna,MN,no,no,no,yes, ,Michael G. Kerr,907,0,https://www.federatedinsurance.com
F5,FFIV,Technology,12691.2,6429,2603.4,331.2,Seattle,WA,no,no,no,yes, ,Fran?ois Locoh-Donou,908,0,https://www.f5.com
Steelcase,SCS,Household Products,1339.5,11400,2596.2,26.1,Grand Rapids,MI,no,no,yes,yes, ,Sara E. Armbruster,909,0,https://www.steelcase.com
Encore Wire,WIRE,Industrials,2405,1440,2592.7,541.4,McKinney,TX,no,no,no,yes, ,Daniel Jones,910,0,https://www.encorewire.com
Guess,GES,Retailing,1305.5,12500,2591.6,171.4,Los Angeles,CA,no,no,no,yes, ,Carlos E. Alberini,911,0,https://www.guess.com
Playtika Holding,PLTK,Media,7965.8,4000,2583,308.5,Henderson,NV,no,no,no,yes, ,Robert Antokol,912,0,https://www.playtika.com
Pinterest,PINS,Technology,16196.9,3225,2578,316.4,San Francisco,CA,no,yes,no,yes, ,William J. Ready,913,0,https://https://investor.pinterestinc.com
WeWork,WE,Financials,4937.4,4400,2570.1,-4439,New York,NY,no,no,no,no, ,Sandeep Mathrani,914,0,https://www.wework.com
ManTech International,MANT,Technology,3517.6,9800,2554,137,Herndon,VA,no,no,no,yes, ,Kevin M. Phillips,915,0,https://www.mantech.com
BrightView Holdings,BV,Business Services,1351.5,20150,2553.6,46.3,Blue Bell,PA,no,no,no,yes, ,Andrew V. Masterman,916,0,https://www.brightview.com
NortonLifeLock,NLOK,Technology,15441.9,2800,2552,554,Tempe,AZ,no,no,no,yes, ,Vincent Pilette,917,0,https://www.nortonlifelock.com
Deckers Outdoor,DECK,Apparel,7457.8,3400,2545.6,382.6,Goleta,CA,no,no,no,yes, ,David Powers,918,0,https://www.deckers.com
Griffon,GFF,Materials,1127.8,6700,2541.7,79.2,New York,NY,no,no,no,yes, ,Ronald J. Kramer,919,0,https://www.griffon.com
AMC Entertainment Holdings,AMC,Media,12733.4,17122,2527.9,-1269.1,Leawood,KS,no,no,no,no, ,Adam M. Aron,920,0,https://www.amctheatres.com
Curtiss-Wright,CW,Industrials,5771,7800,2505.9,267.2,Davidson,NC,no,no,yes,yes, ,Lynn M. Bamford,921,0,https://www.curtisswright.com
MYR Group,MYRG,Engineering & Construction,1594.5,7600,2498.3,85,Henderson,CO,no,no,no,yes, ,Richard S. Swartz,922,0,https://www.myrgroup.com
Kontoor Brands,KTB,Apparel,2325.3,14000,2475.9,195.4,Greensboro,NC,no,no,no,yes, ,Scott H. Baxter,923,0,https://www.kontoorbrands.com
Liberty Energy,LBRT,Energy,2757.9,3601,2470.8,-179.2,Denver,CO,no,yes,no,no, ,Christopher A. Wright,924,0,https://www.libertyfrac.com
Knights of Columbus,dfsfs,Financials,124211,749,2467.5,130.3,New Haven,CT,no,no,no,yes, ,Patrick E. Kelly,925,0,https://www.kofc.org
AdaptHealth,AHCO,Health Care,2146.6,10700,2465.1,156.2,Plymouth Meeting,PA,no,no,no,yes, ,Stephen P. Griggs,926,0,https://www.adapthealth.com
MillerKnoll,MLKN,Household Products,2617.7,7600,2465.1,173.1,Zeeland,MI,no,no,yes,yes, ,Andrea R. Owen,927,0,https://www.millerknoll.com
Equity Residential,EQR,Financials,33802.5,2400,2464,1332.9,Chicago,IL,no,no,no,yes, ,Mark J. Parrell,928,0,https://www.equityapartments.com
DexCom,DXCM,Health Care,39152,6650,2448.5,154.7,San Diego,CA,no,no,no,yes, ,Kevin Sayer,929,0,https://www.dexcom.com
Rollins,ROL,Business Services,17260.7,16482,2424.3,350.7,Atlanta,GA,no,no,no,yes, ,Gary W. Rollins,930,0,https://www.rollins.com
Genesco,GCO,Retailing,868.7,11700,2422.1,114.9,Nashville,TN,no,no,yes,yes, ,Mimi Eckel Vaughn,931,0,https://www.genesco.com
Bruker,BRKR,Technology,9694.7,7765,2417.9,277.1,Billerica,MA,no,no,no,yes, ,Frank H. Laukien,932,0,https://www.bruker.com
Joann,JOAN,Retailing,463.2,13530,2417.6,56.7,Hudson,OH,no,no,no,yes, ,Wade D. Miquelon,933,0,https://www.joann.com
Wolverine World Wide,WWW,Apparel,1836.1,4400,2414.9,68.6,Rockford,MI,no,no,no,yes, ,Brendan L. Hoffman,934,0,https://www.wolverineworldwide.com
Gray Television,GTN,Media,2093.2,8801,2413,90,Atlanta,GA,no,no,no,yes, ,#REF!,935,0,https://www.gray.tv
Affiliated Managers Group,AMG,Financials,5606.8,4050,2412.4,565.7,West Palm Beach,FL,no,no,no,yes, ,Jay C. Horgen,936,0,https://www.amg.com
Summit Materials,SUM,Materials,3687.8,5500,2409.7,152.2,Denver,CO,no,no,yes,yes, ,Anne P. Noonan,937,0,https://www.summit-materials.com
SLM,SLM,Financials,5129.7,1450,2409.3,1160.5,Newark,DE,no,no,no,yes, ,Jonathan W. Witter,938,0,https://www.salliemae.com
Belden,BDC,Industrials,2492.5,7400,2408.1,63.9,St. Louis,MO,no,no,no,yes, ,Roel Vestjens,939,0,https://www.belden.com
Allison Transmission Holdings,ALSN,Motor Vehicles & Parts,3810.6,3400,2402,442,Indianapolis,IN,no,no,no,yes, ,David S. Graziosi,940,0,https://www.allisontransmission.com
Element Solutions,ESI,Chemicals,5434.8,5300,2399.8,203.3,Fort Lauderdale,FL,no,no,no,yes, ,Benjamin Gliklich,941,0,https://www.elementsolutionsinc.com
Portland General Electric,POR,Energy,4940,2839,2396,244,Portland,OR,no,no,yes,yes, ,Maria M. Pope,942,0,https://www.portlandgeneral.com
REV Group,REVG,Motor Vehicles & Parts,843.4,6800,2380.8,44.4,Brookfield,WI,no,no,no,yes, ,Rodney N. Rushing,943,0,https://www.revgroup.com
Acadia Healthcare,ACHC,Health Care,5891.3,19200,2376.9,190.6,Franklin,TN,no,no,no,yes, ,Christopher H. Hunter,944,0,https://www.acadiahealthcare.com
Alexandria Real Estate Equities,ARE,Financials,32188.6,559,2373.6,571.2,Pasadena,CA,no,no,no,yes, ,Peter M. Moglia,945,0,https://www.are.com
Nordson,NDSN,Industrials,13157.1,6813,2362.2,454.4,Westlake,OH,no,no,no,yes, ,Sundaram Nagarajan,946,0,https://www.nordson.com
NewMarket,NEU,Chemicals,3346.7,2104,2356.1,190.9,Richmond,VA,no,no,no,yes, ,Thomas E. Gottwald,947,0,https://www.newmarket.com
Ohio National Mutual,dfsfs,Financials,32532,1082,2346.5,-85.2,Cincinnati,OH,no,no,yes,no, ,Barbara Turner,948,0,https://www.ohionational.com
Stepan,SCL,Chemicals,2215.6,2439,2346,137.8,Northbrook,IL,no,no,no,yes, ,Scott R. Behrens,949,0,https://www.stepan.com
Valhi,VHI,Chemicals,828.8,2847,2335.4,127.2,Dallas,TX,no,no,no,yes, ,Robert D. Graham,950,0,https://www.valhi.net
Hilton Grand Vacations,HGV,"Hotels, Restaurants & Leisure",6247.9,13000,2335,176,Orlando,FL,no,no,no,yes, ,Mark D. Wang,951,0,https://www.hgv.com
Cooper-Standard Holdings,CPS,Motor Vehicles & Parts,149,21300,2330.2,-322.8,Northville,MI,no,no,no,no, ,Jeffrey S. Edwards,952,0,https://www.cooperstandard.com
Etsy,ETSY,Technology,12423,2402,2329.1,493.5,Brooklyn,NY,no,no,no,yes, ,Josh Silverman,953,0,https://www.etsy.com
Crocs,CROX,Apparel,4811,5770,2313.4,725.7,Broomfield,CO,no,no,no,yes, ,Andrew Rees,954,0,https://www.crocs.com
Olympic Steel,ZEUS,Materials,427.8,1642,2312.3,121.1,Highland Hills,OH,no,no,no,yes, ,Richard T. Marabito,955,0,https://www.olysteel.com
Signature Bank,SBNY,Financials,18416.9,1854,2311.3,918.4,New York,NY,no,yes,no,yes, ,Joseph J. DePaolo,956,0,https://www.signatureny.com
SBA Communications,SBAC,Financials,37168.7,1596,2308.8,237.6,Boca Raton,FL,no,no,no,yes, ,Jeffrey A. Stoops,957,0,https://www.sbasite.com
Murphy Oil,MUR,Energy,6275.3,696,2300.1,-73.7,Houston,TX,no,no,no,no, ,Roger W. Jenkins,958,0,https://www.murphyoilcorp.com
Entegris,ENTG,Technology,17830.9,6850,2298.9,409.1,Billerica,MA,no,no,no,yes, ,Bertrand Loy,959,0,https://www.entegris.com
AvalonBay Communities,AVB,Financials,34710.3,2883,2294.9,1004.3,Arlington,VA,no,no,no,yes, ,Benjamin W. Schall,960,0,https://www.avalonbay.com
Saia,SAIA,Transportation,6438.4,11600,2288.7,253.2,Johns Creek,GA,no,no,no,yes, ,Frederick J. Holzgrefe III,961,0,https://www.saia.com
E.W. Scripps,SSP,Media,1154,5600,2283.5,122.7,Cincinnati,OH,no,no,no,yes, ,Adam Symson,962,0,https://www.scripps.com
TTEC Holdings,TTEC,Technology,3878,65000,2273.1,141,Englewood,CO,no,yes,no,yes, ,Kenneth D. Tuchman,963,0,https://www.ttec.com
Sun Communities,SUI,Financials,20372.8,5455,2272.6,380.2,Southfield,MI,no,no,no,yes, ,Gary A. Shiffman,964,0,https://www.suncommunities.com
Alpha Metallurgical Resources,AMR,Energy,2447.5,3500,2258.6,288.8,Bristol,TN,no,no,no,yes, ,David J. Stetson,965,0,https://www.alphametresources.com
GEO Group,GEO,Business Services,809.8,15800,2256.6,77.4,Boca Raton,FL,no,no,no,yes, ,Jose Gordo,966,0,https://www.geogroup.com
Viasat,VSAT,Technology,3630.4,5800,2256.1,3.7,Carlsbad,CA,no,no,no,yes, ,Mark D. Dankberg,967,0,https://www.viasat.com
Benchmark Electronics,BHE,Technology,881.4,10900,2255.3,35.8,Tempe,AZ,no,no,no,yes, ,Jeffrey W. Benck,968,0,https://www.bench.com
Kar Auction Services,KAR,Wholesalers,2187.3,8928,2251.6,66.5,Carmel,IN,no,no,no,yes, ,Peter J. Kelly,969,0,https://www.karglobal.com
TTM Technologies,TTMI,Technology,1506.2,16100,2248.7,54.4,Santa Ana,CA,no,no,no,yes, ,Thomas T. Edman,970,0,https://www.ttm.com
Kirby,KEX,Transportation,4345.9,5125,2246.7,-247,Houston,TX,no,no,no,no, ,David W. Grzebinski,971,0,https://www.kirbycorp.com
Woodward,WWD,Aerospace & Defense,7882.4,7200,2245.8,208.6,Fort Collins,CO,no,no,no,yes, ,Charles Blankenship Jr.,972,0,https://www.woodward.com
Clear Channel Outdoor Holdings,CCO,Business Services,1630.9,4600,2241.1,-433.8,San Antonio,TX,no,no,no,no, ,Scott R. Wells,973,0,https://www.clearchanneloutdoor.com
Spire,SR,Energy,3713.6,3710,2235.5,271.7,St. Louis,MO,no,no,yes,yes, ,Suzanne Sitherwood,974,0,https://www.spireenergy.com
Vista Outdoor,VSTO,Business Services,2007.9,5900,2225.5,266,Anoka,MN,no,no,no,yes, ,Christopher T. Metz,975,0,https://www.vistaoutdoor.com
Surgery Partners,SGRY,Health Care,4919.1,9600,2225.1,-70.9,Brentwood,TN,no,no,no,no, ,J. Eric Evans,976,0,https://www.surgerypartners.com
LHC Group,LHCG,Health Care,5229.6,23000,2219.6,115.7,Lafayette,LA,no,yes,no,yes, ,Keith G. Myers,977,0,https://www.lhcgroup.com
Amedisys,AMED,Health Care,5603.9,21000,2214.1,209.1,Baton Rouge,LA,no,no,no,yes, ,Christopher T. Gerard,978,0,https://www.amedisys.com
Century Aluminum,CENX,Materials,2400.3,2512,2212.5,-167.1,Chicago,IL,no,no,no,no, ,Jesse E. Gary,979,0,https://www.centuryaluminum.com
Arch Resources,ARCH,Energy,2126.2,3303,2208,337.6,St. Louis,MO,no,no,no,yes, ,Paul A. Lang,980,0,https://www.archrsc.com
Aerojet Rocketdyne Holdings,AJRD,Aerospace & Defense,3169.4,5000,2188,143.7,El Segundo,CA,no,no,yes,yes, ,Eileen P. Drake,981,0,https://www.aerojetrocketdyne.com
Sleep Number,SNBR,Retailing,1123.7,5388,2184.9,153.7,Minneapolis,MN,no,no,yes,yes, ,Shelly R. Ibach,982,0,https://www.sleepnumber.com
HNI,HNI,Household Products,1568.7,8000,2184.4,59.8,Muscatine,IA,no,no,no,yes, ,Jeffrey D. Lorenger,983,0,https://www.hnicorp.com
Pure Storage,PSTG,Technology,10238,4200,2180.8,-143.3,Mountain View,CA,no,no,no,no, ,Charles H. Giancarlo,984,0,https://www.purestorage.com
TrueBlue,TBI,Business Services,995.6,6400,2173.6,61.6,Tacoma,WA,no,no,no,yes, ,Steven C. Cooper,985,0,https://www.trueblue.com
Party City Holdco,PRTY,Retailing,402.6,11450,2171.1,-6.5,Elmsford,NY,no,no,no,no, ,Brad Weston,986,0,https://www.partycity.com
Dun & Bradstreet Holdings,DNB,Business Services,7554,6296,2165.6,-71.7,Jacksonville,FL,no,no,no,no, ,Anthony M. Jabbour,987,0,https://www.dnb.com
Dropbox,DBX,Technology,8873.5,2667,2157.9,335.8,San Francisco,CA,no,yes,no,yes, ,Andrew W. Houston,988,0,https://www.dropbox.com
New Jersey Resources,NJR,Energy,4405.4,1251,2156.6,117.9,Wall,NJ,no,no,no,yes, ,Stephen D. Westhoven,989,0,https://www.njresources.com
Acushnet Holdings,GOLF,"Hotels, Restaurants & Leisure",2914,6500,2147.9,178.9,Fairhaven,MA,no,no,no,yes, ,David Maher,990,0,https://www.acushnetholdingscorp.com
Harsco,HSC,Business Services,969.7,12000,2147,-3.2,Camp Hill,PA,no,no,no,no, ,F. Nicholas Grasberger III,991,0,https://www.harsco.com
Beazer Homes USA,BZH,Engineering & Construction,478.8,1052,2140.3,122,Atlanta,GA,no,no,no,yes, ,Allan P. Merrill,992,0,https://www.beazer.com
Chemed,CHE,Health Care,7592.5,14137,2139.3,268.6,Cincinnati,OH,no,no,no,yes, ,Kevin J. McNamara,993,0,https://www.chemed.com
Genesis Energy,GEL,Energy,1435.4,1898,2125.5,-165.1,Houston,TX,no,no,no,no, ,Grant E. Sims,994,0,https://www.genesisenergy.com
BWX Technologies,BWXT,Aerospace & Defense,4925.6,6600,2124.1,305.9,Lynchburg,VA,no,no,no,yes, ,Rex D. Geveden,995,0,https://www.bwxt.com
Vizio Holding,VZIO,Industrials,1705.1,800,2124,-39.4,Irvine,CA,no,yes,no,no, ,William W. Wang,996,0,https://www.vizio.com
1-800-Flowers.com,FLWS,Retailing,830,4800,2122.2,118.7,Jericho,NY,no,no,no,yes, ,Christopher G. McCann,997,0,https://www.1800flowers.com
Cowen,COWN,Financials,1078,1534,2112.8,295.6,New York,NY,no,no,no,yes, ,Jeffrey Solomon,998,0,https://www.cowen.com
Ashland,ASH,Chemicals,5601.9,4100,2111,220,Wilmington,DE,no,no,no,yes, ,Guillermo Novo,999,0,https://www.ashland.com
DocuSign,DOCU,Technology,21302.8,7461,2107.2,-70,San Francisco,CA,no,no,no,no, ,Allan C. Thygesen,1000,0,https://www.docusign.com
